4 96 48
3 8 26 0.9017151296138763
0 8 35 25.680585861206055
1 8 35 0.9467992782592773
2 8 35 0.8846974074840546
3 8 35 0.9430467784404755
0 9 2 25.57918071746826
1 9 2 0.9325050115585327
2 9 2 0.8994323313236237
3 9 2 0.9792546927928925
0 9 25 25.6069974899292
1 9 25 0.9388721883296967
2 9 25 0.8518963158130646
3 9 25 0.9217301309108734
0 9 34 25.695284843444824
1 9 34 0.9391819536685944
2 9 34 0.8983851671218872
3 9 34 0.9643352329730988
0 10 10 25.58004379272461
1 10 10 0.8948923051357269
2 10 10 0.8251293301582336
3 10 10 0.8718737065792084
0 10 30 25.140588760375977
1 10 30 0.9184006154537201
2 10 30 0.8592343628406525
3 10 30 0.8915933072566986
0 10 42 25.07871723175049
1 10 42 0.9044756293296814
2 10 42 0.8517045378684998
3 10 42 0.9046407639980316
0 11 6 25.285593032836914
1 11 6 0.9482139647006989
2 11 6 0.8738968968391418
3 11 6 0.9590389132499695
0 11 20 25.40279197692871
1 11 20 0.9220353066921234
2 11 20 0.8903079926967621
3 11 20 0.9607901573181152
0 11 43 25.693507194519043
1 11 43 0.9391176104545593
2 11 43 0.8820430040359497
3 11 43 0.9510561227798462
0 12 7 25.196630477905273
1 12 7 0.9346981644630432
2 12 7 0.8505123555660248
3 12 7 0.8772418797016144
0 12 19 25.284114837646484
1 12 19 0.906528502702713
2 12 19 0.8144116103649139
3 12 19 0.8764504194259644
0 12 47 25.54329204559326
1 12 47 0.9156145453453064
2 12 47 0.8356695175170898
3 12 47 0.875700443983078
0 13 13 25.76795768737793
1 13 13 0.9428211152553558
2 13 13 0.8458336889743805
3 13 13 0.9231971502304077
0 13 22 25.277179718017578
1 13 22 0.9234730303287506
2 13 22 0.8607946038246155
3 13 22 0.9060417115688324
0 13 45 25.621623039245605
1 13 45 0.9376850426197052
2 13 45 0.8655416667461395
3 13 45 0.9273517727851868
0 14 5 25.534881591796875
1 14 5 0.907640129327774
2 14 5 0.8178156316280365
3 14 5 0.8728666305541992
0 14 27 25.706336975097656
1 14 27 0.9225887060165405
2 14 27 0.8362055718898773
3 14 27 0.8790643811225891
0 14 36 25.172142028808594
1 14 36 0.8846664130687714
2 14 36 0.8065730035305023
3 14 36 0.838707834482193
0 15 12 25.38132095336914
1 15 12 0.9305081069469452
2 15 12 0.8569942116737366
3 15 12 0.9609057605266571
0 15 24 25.619338989257812
1 15 24 0.9087337255477905
2 15 24 0.8464745581150055
3 15 24 0.9189929068088531
0 15 40 25.201838493347168
1 15 40 0.9064955115318298
2 15 40 0.8397861421108246
3 15 40 0.9161684811115265
0 16 13 25.523327827453613
1 16 13 0.9327919185161591
2 16 13 0.8512220680713654
3 16 13 0.9446791708469391
0 16 31 24.8976993560791
1 16 31 0.9196411371231079
2 16 31 0.8618597090244293
3 16 31 0.9408625066280365
0 16 42 25.37888526916504
1 16 42 0.9524947702884674
2 16 42 0.8818344473838806
3 16 42 1.007002741098404
0 17 4 24.945857048034668
1 17 4 0.9047069251537323
2 17 4 0.7793382108211517
3 17 4 0.8086254894733429
0 17 22 24.83272933959961
1 17 22 0.8699851334095001
2 17 22 0.7473583519458771
3 17 22 0.7632383704185486
0 17 36 24.939422607421875
1 17 36 0.8992890417575836
2 17 36 0.7933826148509979
3 17 36 0.8029101490974426
0 18 1 25.160523414611816
1 18 1 0.9180882573127747
2 18 1 0.8539807796478271
3 18 1 0.9056622385978699
0 18 30 25.310348510742188
1 18 30 0.9263654351234436
2 18 30 0.8401209712028503
3 18 30 0.8997091948986053
0 18 35 25.577674865722656
1 18 35 0.9174456000328064
2 18 35 0.847549706697464
3 18 35 0.9296463131904602
0 19 0 25.43694305419922
1 19 0 0.9095683097839355
2 19 0 0.8390272557735443
3 19 0 0.8912082016468048
0 19 27 25.296814918518066
1 19 27 0.9016292095184326
2 19 27 0.8480552136898041
3 19 27 0.9049926698207855
0 19 33 25.36350917816162
1 19 33 0.9257972240447998
2 19 33 0.8771889209747314
3 19 33 0.9502146244049072
0 20 6 25.27905559539795
1 20 6 0.9120097160339355
2 20 6 0.8293629884719849
3 20 6 0.8870024383068085
0 20 24 25.68527317047119
1 20 24 0.9292341768741608
2 20 24 0.8336855173110962
3 20 24 0.8957520425319672
0 20 46 25.087411880493164
1 20 46 0.9343197047710419
2 20 46 0.862265408039093
3 20 46 0.9467644691467285
0 21 9 25.63274574279785
1 21 9 0.9014801681041718
2 21 9 0.8235737979412079
3 21 9 0.893834263086319
0 21 20 25.358339309692383
1 21 20 0.933327704668045
2 21 20 0.8472579717636108
3 21 20 0.9456779658794403
0 21 32 25.499157905578613
1 21 32 0.8973239958286285
2 21 32 0.8282483518123627
3 21 32 0.8915952742099762
