4 96 48
2 10 10 1.0419684648513794
3 10 10 1.474254846572876
0 10 30 0.5437887907028198
1 10 30 0.7166124880313873
2 10 30 1.109710156917572
3 10 30 1.4488680958747864
0 10 42 0.4933166354894638
1 10 42 0.7127739787101746
2 10 42 1.1008824110031128
3 10 42 1.5104728937149048
0 11 6 0.4824703633785248
1 11 6 0.8102302551269531
2 11 6 1.2476222515106201
3 11 6 1.7578102350234985
0 11 20 0.5170494765043259
1 11 20 0.8089434504508972
2 11 20 1.2655472159385681
3 11 20 1.7591961026191711
0 11 43 0.47145625948905945
1 11 43 0.7607390284538269
2 11 43 1.2308006882667542
3 11 43 1.764894723892212
0 12 7 0.4165470004081726
1 12 7 0.7893359959125519
2 12 7 1.06616872549057
3 12 7 1.495007872581482
0 12 19 0.3871481567621231
1 12 19 0.7114225625991821
2 12 19 1.008707046508789
3 12 19 1.4525585770606995
0 12 47 0.46793417632579803
1 12 47 0.7691812515258789
2 12 47 1.0108670592308044
3 12 47 1.4671013355255127
0 13 13 0.5540699064731598
1 13 13 0.8175971508026123
2 13 13 1.2662129998207092
3 13 13 1.699449360370636
0 13 22 0.4233419746160507
1 13 22 0.7157180607318878
2 13 22 1.1883714199066162
3 13 22 1.6367393732070923
0 13 45 0.5382707118988037
1 13 45 0.7890228033065796
2 13 45 1.2599437236785889
3 13 45 1.7644662261009216
0 14 5 0.5375253558158875
1 14 5 0.789483517408371
2 14 5 1.1416893601417542
3 14 5 1.5476307272911072
0 14 27 0.5310457497835159
1 14 27 0.7725890576839447
2 14 27 1.1225979328155518
3 14 27 1.5105401873588562
0 14 36 0.44579121470451355
1 14 36 0.6465248167514801
2 14 36 1.0183345079421997
3 14 36 1.4210294485092163
0 15 12 0.525595098733902
1 15 12 0.7736783027648926
2 15 12 1.1911098957061768
3 15 12 1.6349945664405823
0 15 24 0.43377384543418884
1 15 24 0.7011383473873138
2 15 24 1.137710154056549
3 15 24 1.599995493888855
0 15 40 0.46969154477119446
1 15 40 0.7812917232513428
2 15 40 1.147746205329895
3 15 40 1.6441607475280762
0 16 13 0.5269559919834137
1 16 13 0.7290436029434204
2 16 13 1.1819468140602112
3 16 13 1.621999740600586
0 16 31 0.47604160010814667
1 16 31 0.7828401327133179
2 16 31 1.1883812546730042
3 16 31 1.5917513966560364
0 16 42 0.5359725654125214
1 16 42 0.8221587240695953
2 16 42 1.2369537353515625
3 16 42 1.7393812537193298
0 17 4 0.43668466806411743
1 17 4 0.6982246339321136
2 17 4 0.9563683569431305
3 17 4 1.2678813934326172
0 17 22 0.4739888310432434
1 17 22 0.5683476626873016
2 17 22 0.8351895213127136
3 17 22 1.1208745837211609
0 17 36 0.4755443036556244
1 17 36 0.6530502736568451
2 17 36 0.9476755261421204
3 17 36 1.268138349056244
0 18 1 0.5191340148448944
1 18 1 0.7405632436275482
2 18 1 1.1271162629127502
3 18 1 1.5900114178657532
0 18 30 0.5064006149768829
1 18 30 0.7436115443706512
2 18 30 1.1555172801017761
3 18 30 1.5516558289527893
0 18 35 0.4721788316965103
1 18 35 0.7557893693447113
2 18 35 1.2480009198188782
3 18 35 1.6660816669464111
0 19 0 0.4555721879005432
1 19 0 0.7722004950046539
2 19 0 1.2370381951332092
3 19 0 1.585884690284729
0 19 27 0.5148166120052338
1 19 27 0.7358311116695404
2 19 27 1.1742590069770813
3 19 27 1.5843632221221924
0 19 33 0.42704834043979645
1 19 33 0.7109061181545258
2 19 33 1.192996621131897
3 19 33 1.5979355573654175
0 20 6 0.5651119947433472
1 20 6 0.796029806137085
2 20 6 1.121424376964569
3 20 6 1.481739103794098
0 20 24 0.5312527716159821
1 20 24 0.6875758767127991
2 20 24 1.0089999437332153
3 20 24 1.4890034198760986
0 20 46 0.5384806394577026
1 20 46 0.7434472143650055
2 20 46 1.1382280588150024
3 20 46 1.5339981317520142
0 21 9 0.4412095844745636
1 21 9 0.7116355895996094
2 21 9 1.1371150612831116
3 21 9 1.6636401414871216
0 21 20 0.4426868259906769
1 21 20 0.7385786175727844
2 21 20 1.1896819472312927
3 21 20 1.730531930923462
0 21 32 0.5228251218795776
1 21 32 0.8007775247097015
2 21 32 1.1390711665153503
3 21 32 1.5617701411247253
0 22 14 0.49767082929611206
1 22 14 0.7173416316509247
2 22 14 1.0037845373153687
3 22 14 1.3403055667877197
0 22 29 0.49443159997463226
1 22 29 0.7011568546295166
2 22 29 0.9949654340744019
3 22 29 1.4215933680534363
0 22 34 0.42106808722019196
1 22 34 0.7632010877132416
2 22 34 1.0733279585838318
3 22 34 1.4815613627433777
0 23 15 0.4051583409309387
1 23 15 0.7220764756202698
2 23 15 1.0920509696006775
3 23 15 1.51055908203125
0 23 25 0.461502268910408
1 23 25 0.8174718022346497
