96 48
18 34 0.786980926990509
18 55 0.7781798839569092
18 70 0.7539452910423279
18 95 0.8025836944580078
19 12 0.7293391823768616
19 25 0.6833841800689697
19 35 0.8109822273254395
19 54 0.7703948020935059
19 73 0.7739704251289368
19 87 0.7744534015655518
20 11 0.7886357307434082
20 21 0.7585036754608154
20 41 0.834136426448822
20 60 0.7018401622772217
20 76 0.7334381937980652
20 82 0.7463669776916504
21 3 0.9214103817939758
21 24 0.7357250452041626
21 37 0.7376410961151123
21 63 0.7197360992431641
21 74 0.7493000626564026
21 81 0.654887318611145
22 13 0.7594940066337585
22 17 0.7492868304252625
22 42 0.6831238269805908
22 49 0.710922122001648
22 79 0.771708071231842
22 91 0.7956961393356323
23 6 0.6781808137893677
23 28 0.8126819133758545
23 32 0.7745898962020874
23 61 0.7920846939086914
23 68 0.8039250373840332
23 94 0.7637428641319275
24 15 0.8393010497093201
24 20 0.7673389911651611
24 33 0.7339170575141907
24 59 0.7750006914138794
24 69 0.7595120072364807
24 80 0.8301293849945068
25 9 0.8120154738426208
25 23 0.7860824465751648
25 39 0.8737993240356445
25 58 0.7286181449890137
25 78 0.7521976232528687
25 92 0.6890289783477783
26 8 0.7688872218132019
26 29 0.6756013631820679
26 36 0.7495421171188354
26 51 0.7502838373184204
26 64 0.7916746735572815
26 84 0.8107030391693115
27 14 0.7214299440383911
27 19 0.8360388278961182
27 44 0.7896367311477661
27 53 0.7429932951927185
27 67 0.7823003530502319
27 89 0.8076598644256592
28 7 0.7867540717124939
28 31 0.817659318447113
28 40 0.776391863822937
28 50 0.8599382042884827
28 77 0.709963321685791
28 93 0.6750479340553284
29 0 0.8115721940994263
29 22 0.750559389591217
29 46 0.7108294367790222
29 52 0.7385463714599609
29 72 0.6951280832290649
29 85 0.8530812859535217
30 10 0.7661643028259277
30 18 0.7845979332923889
30 47 0.8126265406608582
30 56 0.7906934022903442
30 71 0.8037197589874268
30 86 0.7178658246994019
31 1 0.6840754151344299
31 16 0.8328652381896973
31 45 0.759768009185791
31 57 0.7086424231529236
31 66 0.8064901828765869
31 90 0.7905257940292358
32 7 0.7911065816879272
32 21 0.8178267478942871
32 45 0.7691716551780701
32 58 0.7488451600074768
32 65 0.7378478050231934
32 91 0.6897093653678894
33 5 0.7919628620147705
33 19 0.7563919425010681
33 32 0.7563492655754089
33 60 0.7363556623458862
33 72 0.7425846457481384
33 95 0.7490494251251221
34 9 0.8199222683906555
34 22 0.7488314509391785
34 38 0.8292165398597717
34 55 0.8119421601295471
34 66 0.8115206956863403
34 86 0.8057464361190796
35 8 0.7590676546096802
35 18 0.7720171213150024
35 33 0.8270347714424133
35 48 0.749625027179718
35 74 0.7167247533798218
35 87 0.8831572532653809
36 14 0.7599239349365234
36 17 0.6906214356422424
36 47 0.8105281591415405
36 54 0.7320785522460938
36 69 0.7502098679542542
36 90 0.7365507483482361
37 3 0.7674357891082764
37 26 0.7605929374694824
37 40 0.8532481789588928
37 51 0.7913415431976318
37 73 0.7128548622131348
37 88 0.7385649085044861
38 2 0.8441457748413086
38 29 0.6886438727378845
38 37 0.7144630551338196
38 56 0.6949484944343567
38 70 0.8020665645599365
38 94 0.7433980703353882
39 0 0.8166145086288452
39 28 0.7720983028411865
39 39 0.8198908567428589
39 50 0.7196230292320251
39 64 0.7576955556869507
39 81 0.7518141269683838
40 15 0.7363691926002502
40 25 0.7149296998977661
40 46 0.7614914774894714
40 57 0.7366427779197693
40 68 0.6902874708175659
40 82 0.7497967481613159
41 6 0.7867830991744995
41 30 0.6800269484519958
41 36 0.733040452003479
41 52 0.758791446685791
41 76 0.7869641184806824
41 80 0.8492181897163391
42 10 0.7957223057746887
42 16 0.6938300132751465
42 34 0.8194863200187683
42 53 0.8372043967247009
42 78 0.8005630970001221
42 84 0.7413914203643799
43 11 0.8025290369987488
43 31 0.8104842305183411
43 44 0.7576661705970764
43 49 0.7192937135696411
43 71 0.7688840627670288
43 92 0.762674868106842
44 1 0.8017132878303528
44 27 0.760407030582428
44 42 0.8222103118896484
44 59 0.7268202304840088
44 75 0.7459171414375305
44 89 0.7873306274414062
45 13 0.7952805757522583
45 24 0.7273962497711182
45 35 0.7759935259819031
45 62 0.7610122561454773
45 77 0.7811709642410278
45 85 0.7802709341049194
46 4 0.7251431941986084
46 20 0.7215133905410767
46 43 0.7672736644744873
46 63 0.6280769109725952
46 67 0.8099076151847839
46 83 0.7877278923988342
47 12 0.7829961776733398
47 23 0.783255934715271
47 41 0.7339602112770081
47 61 0.7961355447769165
47 79 0.745442807674408
47 93 0.7551812529563904
