SNR     iteration      FER     BER
-2        68          0.729927      0.0602805
-2        69          0.729927      0.060219
-2        70          0.727273      0.060202
-2        71          0.727273      0.0602453
-2        72          0.727273      0.0602525
-2        73          0.727273      0.0603535
-2        74          0.727273      0.0604113
-2        75          0.727273      0.060368
-2        76          0.727273      0.0603211
-2        77          0.727273      0.0601948
-2        78          0.724638      0.0600522
-2        79          0.724638      0.0600378
-2        80          0.724638      0.0600091
-2        81          0.724638      0.05993
-2        82          0.724638      0.059815
-2        83          0.724638      0.059815
-2        84          0.724638      0.0598186
-2        85          0.724638      0.0597071
-2        86          0.714286      0.0592829
-2        87          0.714286      0.0594955
-2        88          0.714286      0.0593821
-2        89          0.714286      0.0594069
-2        90          0.714286      0.0593644
-2        91          0.714286      0.0594494
-2        92          0.714286      0.0594281
-2        93          0.714286      0.059414
-2        94          0.714286      0.0594069
-2        95          0.714286      0.0594281
-2        96          0.714286      0.059414
-2        97          0.714286      0.0593963
-2        98          0.714286      0.0593041
-2        99          0.714286      0.0593219
-2        100          0.714286      0.059251
-2        101          0.714286      0.0592793
-2        102          0.714286      0.0593112
-2        103          0.714286      0.05929
-2        104          0.714286      0.0593892
-2        105          0.714286      0.0593183
-2        106          0.714286      0.0592935
-2        107          0.714286      0.0592368
-2        108          0.714286      0.0591305
-2        109          0.714286      0.059166
-2        110          0.714286      0.0591943
-2        111          0.706714      0.0588297
-2        112          0.706714      0.0587736
-2        113          0.706714      0.0588613
-2        114          0.706714      0.0588157
-2        115          0.706714      0.0587666
-2        116          0.706714      0.0589138
-2        117          0.706714      0.0589489
-2        118          0.706714      0.0590225
-2        119          0.706714      0.0590926
-2        120          0.706714      0.059019
-2        121          0.706714      0.0590015
-2        122          0.706714      0.0591102
-2        123          0.706714      0.0591487
-2        124          0.706714      0.0589945
-2        125          0.706714      0.0590786
-2        126          0.706714      0.0589244
-2        127          0.706714      0.0590611
-2        128          0.706714      0.0589524
-2        129          0.706714      0.0590015
-2        130          0.706714      0.0589314
-2        131          0.706714      0.0589244
-2        132          0.706714      0.0588893
-2        133          0.706714      0.0587386
-2        134          0.706714      0.0587491
-2        135          0.706714      0.0587245
-2        136          0.706714      0.058714
-2        137          0.706714      0.0588543
-2        138          0.706714      0.058991
-2        139          0.706714      0.0591102
-2        140          0.706714      0.0592574
-2        141          0.706714      0.0592995
-2        142          0.706714      0.0591768
-2        143          0.706714      0.0591067
-2        144          0.706714      0.0590225
-2        145          0.706714      0.059012
-2        146          0.706714      0.058998
-2        147          0.706714      0.0590295
-2        148          0.706714      0.0590786
-2        149          0.706714      0.0591242
-2        150          0.706714      0.0592293
-2        151          0.706714      0.0591978
-2        152          0.706714      0.0591277
-2        153          0.706714      0.0591557
-2        154          0.706714      0.0592329
-2        155          0.706714      0.0592749
-2        156          0.706714      0.0592399
-2        157          0.706714      0.0592644
-2        158          0.706714      0.0592784
-2        159          0.706714      0.0592118
-2        160          0.706714      0.0590295
-2        161          0.706714      0.0590436
-2        162          0.706714      0.0590891
-2        163          0.706714      0.0590786
-2        164          0.706714      0.0590155
-2        165          0.706714      0.058998
-2        166          0.706714      0.0588543
-2        167          0.706714      0.0588017
-2        168          0.706714      0.0588437
-2        169          0.706714      0.0588823
-2        170          0.706714      0.0588157
-2        171          0.706714      0.0589138
-2        172          0.706714      0.0588928
-2        173          0.706714      0.0589384
-2        174          0.706714      0.0589349
-2        175          0.706714      0.0590856
-2        176          0.706714      0.0591277
-2        177          0.706714      0.0591417
-2        178          0.706714      0.0589594
-2        179          0.706714      0.0590155
-2        180          0.706714      0.0588718
-2        181          0.706714      0.0587912
-2        182          0.706714      0.058679
-2        183          0.706714      0.0586369
-2        184          0.706714      0.0586825
-2        185          0.706714      0.0587456
-2        186          0.706714      0.0586439
-2        187          0.706714      0.058693
-2        188          0.706714      0.0587316
-2        189          0.706714      0.0588437
-2        190          0.706714      0.0588262
-2        191          0.706714      0.0587841
-2        192          0.706714      0.0588227
-2        193          0.706714      0.0588297
-2        194          0.706714      0.0587701
-2        195          0.706714      0.0588402
-2        196          0.706714      0.0586965
-2        197          0.706714      0.0588472
-2        198          0.706714      0.0587666
-2        199          0.706714      0.0587876
-2        200          0.706714      0.0588753
-1.75        1          1      0.0951736
-1.75        2          1      0.0813839
